work,book_n,line_n,word_n,word,lemma,sedes,metrical_shape,scanned,num_scansions,line_text
Phaen.,,1,1,ἐκ,ἐκ,1,–,auto,1,"ἐκ Διὸς ἀρχώμεσθα, τὸν οὐδέποτ’ ἄνδρες ἐῶμεν"
Phaen.,,1,2,διὸς,ζεύς,2,⏑⏑,auto,1,"ἐκ Διὸς ἀρχώμεσθα, τὸν οὐδέποτ’ ἄνδρες ἐῶμεν"
Phaen.,,1,3,ἀρχώμεσθα,ἄρχω,3,–––⏑,auto,1,"ἐκ Διὸς ἀρχώμεσθα, τὸν οὐδέποτ’ ἄνδρες ἐῶμεν"
Phaen.,,1,4,τὸν,ὁ,6.5,⏑,auto,1,"ἐκ Διὸς ἀρχώμεσθα, τὸν οὐδέποτ’ ἄνδρες ἐῶμεν"
Phaen.,,1,5,οὐδέποτ’,οὐδέποτε,7,–⏑⏑,auto,1,"ἐκ Διὸς ἀρχώμεσθα, τὸν οὐδέποτ’ ἄνδρες ἐῶμεν"
Phaen.,,1,6,ἄνδρες,ἀνήρ,9,–⏑,auto,1,"ἐκ Διὸς ἀρχώμεσθα, τὸν οὐδέποτ’ ἄνδρες ἐῶμεν"
Phaen.,,1,7,ἐῶμεν,ἐάω,10.5,⏑––,auto,1,"ἐκ Διὸς ἀρχώμεσθα, τὸν οὐδέποτ’ ἄνδρες ἐῶμεν"
Phaen.,,2,1,ἄρρητον,ἄρρητος,1,–––,auto,1,"ἄρρητον· μεσταὶ δέ Διὸς πᾶσαι μὲν ἀγυιαί,"
Phaen.,,2,2,μεσταὶ,μεστός,4,––,auto,1,"ἄρρητον· μεσταὶ δέ Διὸς πᾶσαι μὲν ἀγυιαί,"
Phaen.,,2,3,δέ,δέ,6,⏑,auto,1,"ἄρρητον· μεσταὶ δέ Διὸς πᾶσαι μὲν ἀγυιαί,"
Phaen.,,2,4,διὸς,ζεύς,6.5,⏑–,auto,1,"ἄρρητον· μεσταὶ δέ Διὸς πᾶσαι μὲν ἀγυιαί,"
Phaen.,,2,5,πᾶσαι,πᾶς,8,––,auto,1,"ἄρρητον· μεσταὶ δέ Διὸς πᾶσαι μὲν ἀγυιαί,"
Phaen.,,2,6,μὲν,μέν,10,⏑,auto,1,"ἄρρητον· μεσταὶ δέ Διὸς πᾶσαι μὲν ἀγυιαί,"
Phaen.,,2,7,ἀγυιαί,ἀγυιά,10.5,⏑––,auto,1,"ἄρρητον· μεσταὶ δέ Διὸς πᾶσαι μὲν ἀγυιαί,"
Phaen.,,3,1,πᾶσαι,πᾶς,1,––,auto,1,"πᾶσαι δ’ ἀνθρώπων ἀγοραί, μεστὴ δὲ θάλασσα"
Phaen.,,3,2,δ’,δέ,3,,auto,1,"πᾶσαι δ’ ἀνθρώπων ἀγοραί, μεστὴ δὲ θάλασσα"
Phaen.,,3,3,ἀνθρώπων,ἄνθρωπος,3,–––,auto,1,"πᾶσαι δ’ ἀνθρώπων ἀγοραί, μεστὴ δὲ θάλασσα"
Phaen.,,3,4,ἀγοραί,ἀγορά,6,⏑⏑–,auto,1,"πᾶσαι δ’ ἀνθρώπων ἀγοραί, μεστὴ δὲ θάλασσα"
Phaen.,,3,5,μεστὴ,μεστός,8,––,auto,1,"πᾶσαι δ’ ἀνθρώπων ἀγοραί, μεστὴ δὲ θάλασσα"
Phaen.,,3,6,δὲ,δέ,10,⏑,auto,1,"πᾶσαι δ’ ἀνθρώπων ἀγοραί, μεστὴ δὲ θάλασσα"
Phaen.,,3,7,θάλασσα,θάλασσα,10.5,⏑––,auto,1,"πᾶσαι δ’ ἀνθρώπων ἀγοραί, μεστὴ δὲ θάλασσα"
Phaen.,,4,1,καὶ,καί,1,–,auto,1,καὶ λιμένες· πάντη δὲ Διὸς κεχρήμεθα πάντες.
Phaen.,,4,2,λιμένες,λιμήν,2,⏑⏑–,auto,1,καὶ λιμένες· πάντη δὲ Διὸς κεχρήμεθα πάντες.
Phaen.,,4,3,πάντη,πάντῃ,4,––,auto,1,καὶ λιμένες· πάντη δὲ Διὸς κεχρήμεθα πάντες.
Phaen.,,4,4,δὲ,δέ,6,⏑,auto,1,καὶ λιμένες· πάντη δὲ Διὸς κεχρήμεθα πάντες.
Phaen.,,4,5,διὸς,ζεύς,6.5,⏑–,auto,1,καὶ λιμένες· πάντη δὲ Διὸς κεχρήμεθα πάντες.
Phaen.,,4,6,κεχρήμεθα,χράω2,8,––⏑⏑,auto,1,καὶ λιμένες· πάντη δὲ Διὸς κεχρήμεθα πάντες.
Phaen.,,4,7,πάντες,πᾶς,11,––,auto,1,καὶ λιμένες· πάντη δὲ Διὸς κεχρήμεθα πάντες.
Phaen.,,5,1,τοῦ,ὁ,1,–,auto,1,τοῦ γάρ καὶ γένος εἰμέν· ὁ δ’ ἤπιος ἀνθρώποισιν
Phaen.,,5,2,γάρ,γάρ,2,–,auto,1,τοῦ γάρ καὶ γένος εἰμέν· ὁ δ’ ἤπιος ἀνθρώποισιν
