work,book_n,line_n,word_n,word,lemma,sedes,metrical_shape,scanned,num_scansions,line_text
Argon.,1,1,1,ἀρχόμενος,ἄρχω,1,–⏑⏑–,auto,1,"ἀρχόμενος σέο, Φοῖβε, παλαιγενέων κλέα φωτῶν"
Argon.,1,1,2,σέο,σύ,4,⏑⏑,auto,1,"ἀρχόμενος σέο, Φοῖβε, παλαιγενέων κλέα φωτῶν"
Argon.,1,1,3,φοῖβε,φοῖβος,5,–⏑,auto,1,"ἀρχόμενος σέο, Φοῖβε, παλαιγενέων κλέα φωτῶν"
Argon.,1,1,4,παλαιγενέων,παλαιγενής,6.5,⏑–⏑⏑–,auto,1,"ἀρχόμενος σέο, Φοῖβε, παλαιγενέων κλέα φωτῶν"
Argon.,1,1,5,κλέα,κλέος,10,⏑⏑,auto,1,"ἀρχόμενος σέο, Φοῖβε, παλαιγενέων κλέα φωτῶν"
Argon.,1,1,6,φωτῶν,φώς,11,––,auto,1,"ἀρχόμενος σέο, Φοῖβε, παλαιγενέων κλέα φωτῶν"
Argon.,1,2,1,μνήσομαι,μιμνήσκω,1,–⏑⏑,auto,1,"μνήσομαι, οἳ Πόντοιο κατὰ στόμα καὶ διὰ πέτρας"
Argon.,1,2,2,οἳ,ὁ,3,–,auto,1,"μνήσομαι, οἳ Πόντοιο κατὰ στόμα καὶ διὰ πέτρας"
Argon.,1,2,3,πόντοιο,πόντος,4,––⏑,auto,1,"μνήσομαι, οἳ Πόντοιο κατὰ στόμα καὶ διὰ πέτρας"
Argon.,1,2,4,κατὰ,κατά,6.5,⏑–,auto,1,"μνήσομαι, οἳ Πόντοιο κατὰ στόμα καὶ διὰ πέτρας"
Argon.,1,2,5,στόμα,στόμα,8,⏑⏑,auto,1,"μνήσομαι, οἳ Πόντοιο κατὰ στόμα καὶ διὰ πέτρας"
Argon.,1,2,6,καὶ,καί,9,–,auto,1,"μνήσομαι, οἳ Πόντοιο κατὰ στόμα καὶ διὰ πέτρας"
Argon.,1,2,7,διὰ,διά,10,⏑⏑,auto,1,"μνήσομαι, οἳ Πόντοιο κατὰ στόμα καὶ διὰ πέτρας"
