work,book_n,line_n,word_n,word,lemma,sedes,metrical_shape,scanned,num_scansions,line_text
Batr.,,1,1,ἀρχόμενος,ἄρχω,1,–⏑⏑–,auto,1,Ἀρχόμενος πρώτης σελίδος χορὸν ἐξ Ἑλικῶνος
Batr.,,1,2,πρώτης,πρῶτος,4,––,auto,1,Ἀρχόμενος πρώτης σελίδος χορὸν ἐξ Ἑλικῶνος
Batr.,,1,3,σελίδος,σελίς,6,⏑⏑–,auto,1,Ἀρχόμενος πρώτης σελίδος χορὸν ἐξ Ἑλικῶνος
Batr.,,1,4,χορὸν,χορός,8,⏑⏑,auto,1,Ἀρχόμενος πρώτης σελίδος χορὸν ἐξ Ἑλικῶνος
Batr.,,1,5,ἐξ,ἐκ,9,–,auto,1,Ἀρχόμενος πρώτης σελίδος χορὸν ἐξ Ἑλικῶνος
Batr.,,1,6,ἑλικῶνος,ἑλικών,10,⏑⏑––,auto,1,Ἀρχόμενος πρώτης σελίδος χορὸν ἐξ Ἑλικῶνος
Batr.,,2,1,ἐλθεῖν,ἔρχομαι,1,––,auto,1,"ἐλθεῖν εἰς ἐμὸν ἦτορ ἐπεύχομαι εἵνεκ᾿ ἀοιδῆς,"
Batr.,,2,2,εἰς,εἰς,3,–,auto,1,"ἐλθεῖν εἰς ἐμὸν ἦτορ ἐπεύχομαι εἵνεκ᾿ ἀοιδῆς,"
Batr.,,2,3,ἐμὸν,ἐμός,4,⏑⏑,auto,1,"ἐλθεῖν εἰς ἐμὸν ἦτορ ἐπεύχομαι εἵνεκ᾿ ἀοιδῆς,"
Batr.,,2,4,ἦτορ,ἦτορ,5,–⏑,auto,1,"ἐλθεῖν εἰς ἐμὸν ἦτορ ἐπεύχομαι εἵνεκ᾿ ἀοιδῆς,"
Batr.,,2,5,ἐπεύχομαι,ἐπεύχομαι,6.5,⏑–⏑⏑,auto,1,"ἐλθεῖν εἰς ἐμὸν ἦτορ ἐπεύχομαι εἵνεκ᾿ ἀοιδῆς,"
Batr.,,2,6,εἵνεκ,εἵνεκ,9,–⏑,auto,1,"ἐλθεῖν εἰς ἐμὸν ἦτορ ἐπεύχομαι εἵνεκ᾿ ἀοιδῆς,"
Batr.,,2,7,ἀοιδῆς,ἀοιδή,10.5,⏑––,auto,1,"ἐλθεῖν εἰς ἐμὸν ἦτορ ἐπεύχομαι εἵνεκ᾿ ἀοιδῆς,"
