work,book_n,line_n,word_n,word,lemma,sedes,metrical_shape,scanned,num_scansions,line_text
Ther.,,1,1,ῥεῖά,ῥεῖα,1,–⏑,auto,1,Ῥεῖά κέ τοι μορφάς τε σίνη τ’ ὀλοφώια θηρῶν
Ther.,,1,2,κέ,ἄν,2.5,⏑,auto,1,Ῥεῖά κέ τοι μορφάς τε σίνη τ’ ὀλοφώια θηρῶν
Ther.,,1,3,τοι,σύ,3,–,auto,1,Ῥεῖά κέ τοι μορφάς τε σίνη τ’ ὀλοφώια θηρῶν
Ther.,,1,4,μορφάς,μορφή,4,––,auto,1,Ῥεῖά κέ τοι μορφάς τε σίνη τ’ ὀλοφώια θηρῶν
Ther.,,1,5,τε,τε,6,⏑,auto,1,Ῥεῖά κέ τοι μορφάς τε σίνη τ’ ὀλοφώια θηρῶν
Ther.,,1,6,σίνη,σίνομαι,6.5,⏑–,auto,1,Ῥεῖά κέ τοι μορφάς τε σίνη τ’ ὀλοφώια θηρῶν
Ther.,,1,7,τ’,τε,8,,auto,1,Ῥεῖά κέ τοι μορφάς τε σίνη τ’ ὀλοφώια θηρῶν
Ther.,,1,8,ὀλοφώια,ὀλοφώιος,8,⏑⏑–⏑⏑,auto,1,Ῥεῖά κέ τοι μορφάς τε σίνη τ’ ὀλοφώια θηρῶν
Ther.,,1,9,θηρῶν,θήρ,11,––,auto,1,Ῥεῖά κέ τοι μορφάς τε σίνη τ’ ὀλοφώια θηρῶν
Ther.,,2,1,ἀπροϊδῆ,ἀπροϊδῆ,1,–⏑⏑–,auto,1,"ἀπροϊδῆ τύψαντα λύσιν θ’ ἑτεραλκέα κήδευς,"
Ther.,,2,2,τύψαντα,τύφω,4,––⏑,auto,1,"ἀπροϊδῆ τύψαντα λύσιν θ’ ἑτεραλκέα κήδευς,"
Ther.,,2,3,λύσιν,λύσις,6.5,⏑–,auto,1,"ἀπροϊδῆ τύψαντα λύσιν θ’ ἑτεραλκέα κήδευς,"
Ther.,,2,4,θ’,τε,8,,auto,1,"ἀπροϊδῆ τύψαντα λύσιν θ’ ἑτεραλκέα κήδευς,"
Ther.,,2,5,ἑτεραλκέα,ἑτεραλκής,8,⏑⏑–⏑⏑,auto,1,"ἀπροϊδῆ τύψαντα λύσιν θ’ ἑτεραλκέα κήδευς,"
Ther.,,2,6,κήδευς,κῆδος,11,––,auto,1,"ἀπροϊδῆ τύψαντα λύσιν θ’ ἑτεραλκέα κήδευς,"
Ther.,,3,1,φίλ’,φίλος,1,–,auto,1,"φίλ’ Ἑρμησιάναξ, πολέων κυδίστατε παῶν,"
Ther.,,3,2,ἑρμησιάναξ,ἑρμησιάναξ,2,––⏑⏑–,auto,1,"φίλ’ Ἑρμησιάναξ, πολέων κυδίστατε παῶν,"
Ther.,,3,3,πολέων,πολύς,6,⏑⏑–,auto,1,"φίλ’ Ἑρμησιάναξ, πολέων κυδίστατε παῶν,"
Ther.,,3,4,κυδίστατε,κυδίστατε,8,––⏑⏑,auto,1,"φίλ’ Ἑρμησιάναξ, πολέων κυδίστατε παῶν,"
Ther.,,3,5,παῶν,πηός,11,––,auto,1,"φίλ’ Ἑρμησιάναξ, πολέων κυδίστατε παῶν,"
Ther.,,4,1,ἔμπεδα,ἔμπεδος,1,–⏑⏑,auto,1,ἔμπεδα φωνήσαιμι· σὲ δ’ ἂν πολύεργος ἀροτρεὺς
Ther.,,4,2,φωνήσαιμι,φωνέω,3,–––⏑,auto,1,ἔμπεδα φωνήσαιμι· σὲ δ’ ἂν πολύεργος ἀροτρεὺς
Ther.,,4,3,σὲ,σύ,6.5,⏑,auto,1,ἔμπεδα φωνήσαιμι· σὲ δ’ ἂν πολύεργος ἀροτρεὺς
Ther.,,4,4,δ’,δέ,7,,auto,1,ἔμπεδα φωνήσαιμι· σὲ δ’ ἂν πολύεργος ἀροτρεὺς
Ther.,,4,5,ἂν,ἄν,7,–,auto,1,ἔμπεδα φωνήσαιμι· σὲ δ’ ἂν πολύεργος ἀροτρεὺς
Ther.,,4,6,πολύεργος,πολύεργος,8,⏑⏑–⏑,auto,1,ἔμπεδα φωνήσαιμι· σὲ δ’ ἂν πολύεργος ἀροτρεὺς
