work,book_n,line_n,word_n,word,lemma,sedes,metrical_shape,scanned,num_scansions,line_text
Hom.Hymn,1,1,1,οἳ,ὁ,1,–,auto,1,"οἳ μὲν γὰρ Δρακάνῳ σ’, οἳ δ’ Ἰκάρῳ ἠνεμοέσσῃ"
Hom.Hymn,1,1,2,μὲν,μέν,2,–,auto,1,"οἳ μὲν γὰρ Δρακάνῳ σ’, οἳ δ’ Ἰκάρῳ ἠνεμοέσσῃ"
Hom.Hymn,1,1,3,γὰρ,γάρ,3,–,auto,1,"οἳ μὲν γὰρ Δρακάνῳ σ’, οἳ δ’ Ἰκάρῳ ἠνεμοέσσῃ"
Hom.Hymn,1,1,4,δρακάνῳ,δρακάνῳ,4,⏑⏑–,auto,1,"οἳ μὲν γὰρ Δρακάνῳ σ’, οἳ δ’ Ἰκάρῳ ἠνεμοέσσῃ"
Hom.Hymn,1,1,5,σ’,σύ,6,,auto,1,"οἳ μὲν γὰρ Δρακάνῳ σ’, οἳ δ’ Ἰκάρῳ ἠνεμοέσσῃ"
Hom.Hymn,1,1,6,οἳ,ὁ,6,–,auto,1,"οἳ μὲν γὰρ Δρακάνῳ σ’, οἳ δ’ Ἰκάρῳ ἠνεμοέσσῃ"
Hom.Hymn,1,1,7,δ’,δέ,7,,auto,1,"οἳ μὲν γὰρ Δρακάνῳ σ’, οἳ δ’ Ἰκάρῳ ἠνεμοέσσῃ"
Hom.Hymn,1,1,8,ἰκάρῳ,ἴκαρος,7,–⏑⏑,auto,1,"οἳ μὲν γὰρ Δρακάνῳ σ’, οἳ δ’ Ἰκάρῳ ἠνεμοέσσῃ"
Hom.Hymn,1,1,9,ἠνεμοέσσῃ,ἠνεμόεις,9,–⏑⏑––,auto,1,"οἳ μὲν γὰρ Δρακάνῳ σ’, οἳ δ’ Ἰκάρῳ ἠνεμοέσσῃ"
Hom.Hymn,1,2,1,φάσ’,φάσ’,1,–,auto,1,"φάσ’, οἳ δ’ ἐν Νάξῳ, δῖον γένος, εἰραφιῶτα,"
Hom.Hymn,1,2,2,οἳ,ὁ,2,–,auto,1,"φάσ’, οἳ δ’ ἐν Νάξῳ, δῖον γένος, εἰραφιῶτα,"
Hom.Hymn,1,2,3,δ’,δέ,3,,auto,1,"φάσ’, οἳ δ’ ἐν Νάξῳ, δῖον γένος, εἰραφιῶτα,"
Hom.Hymn,1,2,4,ἐν,ἐν,3,–,auto,1,"φάσ’, οἳ δ’ ἐν Νάξῳ, δῖον γένος, εἰραφιῶτα,"
Hom.Hymn,1,2,5,νάξῳ,ναξος,4,––,auto,1,"φάσ’, οἳ δ’ ἐν Νάξῳ, δῖον γένος, εἰραφιῶτα,"
Hom.Hymn,1,2,6,δῖον,δῖος,6,––,auto,1,"φάσ’, οἳ δ’ ἐν Νάξῳ, δῖον γένος, εἰραφιῶτα,"
Hom.Hymn,1,2,7,γένος,γένος,8,⏑⏑,auto,1,"φάσ’, οἳ δ’ ἐν Νάξῳ, δῖον γένος, εἰραφιῶτα,"
Hom.Hymn,1,2,8,εἰραφιῶτα,εἰραφιώτης,9,–⏑⏑––,auto,1,"φάσ’, οἳ δ’ ἐν Νάξῳ, δῖον γένος, εἰραφιῶτα,"
Hom.Hymn,1,3,1,οἳ,ὁ,1,–,auto,1,οἳ δέ σ’ ἐπ’ Ἀλφειῷ ποταμῷ βαθυδινήεντι
Hom.Hymn,1,3,2,δέ,δέ,2,⏑,auto,1,οἳ δέ σ’ ἐπ’ Ἀλφειῷ ποταμῷ βαθυδινήεντι
Hom.Hymn,1,3,3,σ’,σύ,2.5,,auto,1,οἳ δέ σ’ ἐπ’ Ἀλφειῷ ποταμῷ βαθυδινήεντι
Hom.Hymn,1,3,4,ἐπ’,ἐπί,2.5,⏑,auto,1,οἳ δέ σ’ ἐπ’ Ἀλφειῷ ποταμῷ βαθυδινήεντι
