work,book_n,line_n,word_n,word,lemma,sedes,metrical_shape,scanned,num_scansions,line_text
Il.,1,1,1,μῆνιν,μῆνις,1,–⏑,manual,1,μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος
Il.,1,1,2,ἄειδε,ἀείδω,2.5,⏑–⏑,manual,1,μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος
Il.,1,1,3,θεὰ,θεά,4.5,⏑–,manual,1,μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος
Il.,1,1,4,πηληϊάδεω,πηλείδης,6,––⏑⏑–,manual,1,μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος
Il.,1,1,5,ἀχιλῆος,ἀχιλλεύς,10,⏑⏑––,manual,1,μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος
Il.,1,2,1,οὐλομένην,οὐλόμενος,1,–⏑⏑–,manual,1,"οὐλομένην, ἣ μυρί’ Ἀχαιοῖς ἄλγε’ ἔθηκε,"
Il.,1,2,2,ἣ,ὁ,4,–,manual,1,"οὐλομένην, ἣ μυρί’ Ἀχαιοῖς ἄλγε’ ἔθηκε,"
Il.,1,2,3,μυρί’,μυρίος,5,–⏑,manual,1,"οὐλομένην, ἣ μυρί’ Ἀχαιοῖς ἄλγε’ ἔθηκε,"
Il.,1,2,4,ἀχαιοῖς,ἀχαιός,6.5,⏑––,manual,1,"οὐλομένην, ἣ μυρί’ Ἀχαιοῖς ἄλγε’ ἔθηκε,"
Il.,1,2,5,ἄλγε’,ἄλγος,9,–⏑,manual,1,"οὐλομένην, ἣ μυρί’ Ἀχαιοῖς ἄλγε’ ἔθηκε,"
Il.,1,2,6,ἔθηκε,τίθημι,10.5,⏑––,manual,1,"οὐλομένην, ἣ μυρί’ Ἀχαιοῖς ἄλγε’ ἔθηκε,"
Il.,1,3,1,πολλὰς,πολύς,1,––,manual,1,πολλὰς δ’ ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν
Il.,1,3,2,δ’,δέ,3,,manual,1,πολλὰς δ’ ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν
Il.,1,3,3,ἰφθίμους,ἴφθιμος,3,–––,manual,1,πολλὰς δ’ ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν
Il.,1,3,4,ψυχὰς,ψυχή,6,––,manual,1,πολλὰς δ’ ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν
Il.,1,3,5,ἄϊδι,ἅιδης,8,⏑⏑–,manual,1,πολλὰς δ’ ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν
Il.,1,3,6,προΐαψεν,προϊάπτω,10,⏑⏑––,manual,1,πολλὰς δ’ ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν
Il.,1,4,1,ἡρώων,ἥρως,1,–––,auto,1,"ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν"
Il.,1,4,2,αὐτοὺς,αὐτός,4,––,auto,1,"ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν"
Il.,1,4,3,δὲ,δέ,6,⏑,auto,1,"ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν"
Il.,1,4,4,ἑλώρια,ἑλώριον,6.5,⏑–⏑⏑,auto,1,"ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν"
Il.,1,4,5,τεῦχε,τεύχω,9,–⏑,auto,1,"ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν"
Il.,1,4,6,κύνεσσιν,κύων,10.5,⏑––,auto,1,"ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν"
Il.,1,5,1,οἰωνοῖσί,οἰωνός,1,–––⏑,auto,1,"οἰωνοῖσί τε πᾶσι, Διὸς δ’ ἐτελείετο βουλή,"
Il.,1,5,2,τε,τε,4.5,⏑,auto,1,"οἰωνοῖσί τε πᾶσι, Διὸς δ’ ἐτελείετο βουλή,"
Il.,1,5,3,πᾶσι,πᾶς,5,–⏑,auto,1,"οἰωνοῖσί τε πᾶσι, Διὸς δ’ ἐτελείετο βουλή,"
Il.,1,5,4,διὸς,ζεύς,6.5,⏑–,auto,1,"οἰωνοῖσί τε πᾶσι, Διὸς δ’ ἐτελείετο βουλή,"
Il.,1,5,5,δ’,δέ,8,,auto,1,"οἰωνοῖσί τε πᾶσι, Διὸς δ’ ἐτελείετο βουλή,"
Il.,1,5,6,ἐτελείετο,τελέω,8,⏑⏑–⏑⏑,auto,1,"οἰωνοῖσί τε πᾶσι, Διὸς δ’ ἐτελείετο βουλή,"
Il.,1,5,7,βουλή,βουλή,11,––,auto,1,"οἰωνοῖσί τε πᾶσι, Διὸς δ’ ἐτελείετο βουλή,"
Il.,1,6,1,ἐξ,ἐκ,1,–,auto,1,ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε
Il.,1,6,2,οὗ,ὅς,2,–,auto,1,ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε
Il.,1,6,3,δὴ,δή,3,–,auto,1,ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε
Il.,1,6,4,τὰ,ὁ,4,–,auto,1,ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε
Il.,1,6,5,πρῶτα,πρῶτος,5,–⏑,auto,1,ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε
Il.,1,6,6,διαστήτην,διίστημι,6.5,⏑–––,auto,1,ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε
Il.,1,6,7,ἐρίσαντε,ἐρίζω,10,⏑⏑––,auto,1,ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε
Il.,1,7,1,ἀτρεΐδης,ἀτρείδης,1,–⏑⏑–,auto,1,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.
Il.,1,7,2,τε,τε,4,⏑,auto,1,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.
Il.,1,7,3,ἄναξ,ἄναξ,4.5,⏑–,auto,1,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.
Il.,1,7,4,ἀνδρῶν,ἀνήρ,6,––,auto,1,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.
Il.,1,7,5,καὶ,καί,8,–,auto,1,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.
Il.,1,7,6,δῖος,δῖος,9,–⏑,auto,1,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.
Il.,1,7,7,ἀχιλλεύς,ἀχιλλεύς,10.5,⏑––,auto,1,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.
Il.,1,8,1,τίς,τις,1,–,auto,1,τίς τ’ ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;
Il.,1,8,2,τ’,τε,2,,auto,1,τίς τ’ ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;
Il.,1,8,3,ἄρ,ἄρα,2,–,auto,1,τίς τ’ ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;
Il.,1,8,4,σφωε,σφεῖς,3,–⏑,auto,1,τίς τ’ ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;
Il.,1,8,5,θεῶν,θεός,4.5,⏑–,auto,1,τίς τ’ ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;
Il.,1,8,6,ἔριδι,ἔρις,6,⏑⏑–,auto,1,τίς τ’ ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;
Il.,1,8,7,ξυνέηκε,συνίημι,8,⏑⏑–⏑,auto,1,τίς τ’ ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;
Il.,1,8,8,μάχεσθαι,μάχομαι,10.5,⏑––,auto,1,τίς τ’ ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;
Il.,1,9,1,λητοῦς,λητώ,1,––,auto,1,Λητοῦς καὶ Διὸς υἱός· ὃ γὰρ βασιλῆϊ χολωθεὶς
Il.,1,9,2,καὶ,καί,3,–,auto,1,Λητοῦς καὶ Διὸς υἱός· ὃ γὰρ βασιλῆϊ χολωθεὶς
Il.,1,9,3,διὸς,ζεύς,4,⏑⏑,auto,1,Λητοῦς καὶ Διὸς υἱός· ὃ γὰρ βασιλῆϊ χολωθεὶς
Il.,1,9,4,υἱός,υἱός,5,–⏑,auto,1,Λητοῦς καὶ Διὸς υἱός· ὃ γὰρ βασιλῆϊ χολωθεὶς
Il.,1,9,5,ὃ,ὁ,6.5,⏑,auto,1,Λητοῦς καὶ Διὸς υἱός· ὃ γὰρ βασιλῆϊ χολωθεὶς
Il.,1,9,6,γὰρ,γάρ,7,–,auto,1,Λητοῦς καὶ Διὸς υἱός· ὃ γὰρ βασιλῆϊ χολωθεὶς
Il.,1,9,7,βασιλῆϊ,βασιλεύς,8,⏑⏑–⏑,auto,1,Λητοῦς καὶ Διὸς υἱός· ὃ γὰρ βασιλῆϊ χολωθεὶς
Il.,1,9,8,χολωθεὶς,χολόω,10.5,⏑––,auto,1,Λητοῦς καὶ Διὸς υἱός· ὃ γὰρ βασιλῆϊ χολωθεὶς
Il.,1,10,1,νοῦσον,νόσος,1,–⏑,auto,1,"νοῦσον ἀνὰ στρατὸν ὄρσε κακήν, ὀλέκοντο δὲ λαοί,"
Il.,1,10,2,ἀνὰ,ἀνά,2.5,⏑–,auto,1,"νοῦσον ἀνὰ στρατὸν ὄρσε κακήν, ὀλέκοντο δὲ λαοί,"
Il.,1,10,3,στρατὸν,στρατός,4,⏑⏑,auto,1,"νοῦσον ἀνὰ στρατὸν ὄρσε κακήν, ὀλέκοντο δὲ λαοί,"
Il.,1,10,4,ὄρσε,ὄρνυμι,5,–⏑,auto,1,"νοῦσον ἀνὰ στρατὸν ὄρσε κακήν, ὀλέκοντο δὲ λαοί,"
Il.,1,10,5,κακήν,κακός,6.5,⏑–,auto,1,"νοῦσον ἀνὰ στρατὸν ὄρσε κακήν, ὀλέκοντο δὲ λαοί,"
Il.,1,10,6,ὀλέκοντο,ὀλέκω,8,⏑⏑–⏑,auto,1,"νοῦσον ἀνὰ στρατὸν ὄρσε κακήν, ὀλέκοντο δὲ λαοί,"
Il.,1,10,7,δὲ,δέ,10.5,⏑,auto,1,"νοῦσον ἀνὰ στρατὸν ὄρσε κακήν, ὀλέκοντο δὲ λαοί,"
Il.,1,10,8,λαοί,λαός,11,––,auto,1,"νοῦσον ἀνὰ στρατὸν ὄρσε κακήν, ὀλέκοντο δὲ λαοί,"
Il.,1,11,1,οὕνεκα,οὕνεκα,1,–⏑⏑,auto,1,οὕνεκα τὸν Χρύσην ἠτίμασεν ἀρητῆρα
Il.,1,11,2,τὸν,ὁ,3,–,auto,1,οὕνεκα τὸν Χρύσην ἠτίμασεν ἀρητῆρα
