work,book_n,line_n,word_n,word,lemma,sedes,metrical_shape,scanned,num_scansions,line_text
Dion.,1,1,1,εἰπέ,εἶπον,1,–⏑,auto,1,"εἰπέ, θεά, Κρονίδαο διάκτορον αἴθοπος αὐγῆς,"
Dion.,1,1,2,θεά,θεά,2.5,⏑–,auto,1,"εἰπέ, θεά, Κρονίδαο διάκτορον αἴθοπος αὐγῆς,"
Dion.,1,1,3,κρονίδαο,κρονίδης,4,⏑⏑–⏑,auto,1,"εἰπέ, θεά, Κρονίδαο διάκτορον αἴθοπος αὐγῆς,"
Dion.,1,1,4,διάκτορον,διάκτορος,6.5,⏑–⏑⏑,auto,1,"εἰπέ, θεά, Κρονίδαο διάκτορον αἴθοπος αὐγῆς,"
Dion.,1,1,5,αἴθοπος,αἶθοψ,9,–⏑⏑,auto,1,"εἰπέ, θεά, Κρονίδαο διάκτορον αἴθοπος αὐγῆς,"
Dion.,1,1,6,αὐγῆς,αὐγή,11,––,auto,1,"εἰπέ, θεά, Κρονίδαο διάκτορον αἴθοπος αὐγῆς,"
Dion.,1,2,1,νυμφιδίῳ,νυμφίδιος,1,–⏑⏑–,auto,1,"νυμφιδίῳ σπινθῆρι μογοστόκον ἄσθμα κεραυνοῦ,"
Dion.,1,2,2,σπινθῆρι,σπινθήρ,4,––⏑,auto,1,"νυμφιδίῳ σπινθῆρι μογοστόκον ἄσθμα κεραυνοῦ,"
Dion.,1,2,3,μογοστόκον,μογοστόκος,6.5,⏑–⏑⏑,auto,1,"νυμφιδίῳ σπινθῆρι μογοστόκον ἄσθμα κεραυνοῦ,"
Dion.,1,2,4,ἄσθμα,ἄσθμα,9,–⏑,auto,1,"νυμφιδίῳ σπινθῆρι μογοστόκον ἄσθμα κεραυνοῦ,"
Dion.,1,2,5,κεραυνοῦ,κεραυνός,10.5,⏑––,auto,1,"νυμφιδίῳ σπινθῆρι μογοστόκον ἄσθμα κεραυνοῦ,"
Dion.,1,3,1,καὶ,καί,1,–,auto,1,καὶ στεροπὴν Σεμέλης θαλαμηπόλον· εἰπὲ δὲ φύτλην
Dion.,1,3,2,στεροπὴν,στεροπή,2,⏑⏑–,auto,1,καὶ στεροπὴν Σεμέλης θαλαμηπόλον· εἰπὲ δὲ φύτλην
Dion.,1,3,3,σεμέλης,σεμέλη,4,⏑⏑–,auto,1,καὶ στεροπὴν Σεμέλης θαλαμηπόλον· εἰπὲ δὲ φύτλην
Dion.,1,3,4,θαλαμηπόλον,θαλαμηπόλος,6,⏑⏑–⏑⏑,auto,1,καὶ στεροπὴν Σεμέλης θαλαμηπόλον· εἰπὲ δὲ φύτλην
