work,book_n,line_n,word_n,word,lemma,sedes,metrical_shape,scanned,num_scansions,line_text
Od.,1,1,1,ἄνδρα,ἀνήρ,1,–⏑,auto,1,"ἄνδρα μοι ἔννεπε, μοῦσα, πολύτροπον, ὃς μάλα πολλὰ"
Od.,1,1,2,μοι,ἐγώ,2.5,⏑,auto,1,"ἄνδρα μοι ἔννεπε, μοῦσα, πολύτροπον, ὃς μάλα πολλὰ"
Od.,1,1,3,ἔννεπε,ἐνέπω,3,–⏑⏑,auto,1,"ἄνδρα μοι ἔννεπε, μοῦσα, πολύτροπον, ὃς μάλα πολλὰ"
Od.,1,1,4,μοῦσα,Μοῦσα,5,–⏑,auto,1,"ἄνδρα μοι ἔννεπε, μοῦσα, πολύτροπον, ὃς μάλα πολλὰ"
Od.,1,1,5,πολύτροπον,πολύτροπος,6.5,⏑–⏑⏑,auto,1,"ἄνδρα μοι ἔννεπε, μοῦσα, πολύτροπον, ὃς μάλα πολλὰ"
Od.,1,1,6,ὃς,ὅς,9,–,auto,1,"ἄνδρα μοι ἔννεπε, μοῦσα, πολύτροπον, ὃς μάλα πολλὰ"
Od.,1,1,7,μάλα,μάλα,10,⏑⏑,auto,1,"ἄνδρα μοι ἔννεπε, μοῦσα, πολύτροπον, ὃς μάλα πολλὰ"
Od.,1,1,8,πολλὰ,πολύς,11,––,auto,1,"ἄνδρα μοι ἔννεπε, μοῦσα, πολύτροπον, ὃς μάλα πολλὰ"
Od.,1,2,1,πλάγχθη,πλάζω,1,–⏑,auto,1,"πλάγχθη, ἐπεὶ Τροίης ἱερὸν πτολίεθρον ἔπερσεν·"
Od.,1,2,2,ἐπεὶ,ἐπεί,2.5,⏑–,auto,1,"πλάγχθη, ἐπεὶ Τροίης ἱερὸν πτολίεθρον ἔπερσεν·"
Od.,1,2,3,τροίης,τροία,4,––,auto,1,"πλάγχθη, ἐπεὶ Τροίης ἱερὸν πτολίεθρον ἔπερσεν·"
Od.,1,2,4,ἱερὸν,ἱερός,6,⏑⏑–,auto,1,"πλάγχθη, ἐπεὶ Τροίης ἱερὸν πτολίεθρον ἔπερσεν·"
Od.,1,2,5,πτολίεθρον,πτολίεθρον,8,⏑⏑–⏑,auto,1,"πλάγχθη, ἐπεὶ Τροίης ἱερὸν πτολίεθρον ἔπερσεν·"
Od.,1,2,6,ἔπερσεν,πέρθω,10.5,⏑––,auto,1,"πλάγχθη, ἐπεὶ Τροίης ἱερὸν πτολίεθρον ἔπερσεν·"
Od.,1,3,1,πολλῶν,πολύς,1,––,auto,1,"πολλῶν δ’ ἀνθρώπων ἴδεν ἄστεα καὶ νόον ἔγνω,"
Od.,1,3,2,δ’,δέ,3,,auto,1,"πολλῶν δ’ ἀνθρώπων ἴδεν ἄστεα καὶ νόον ἔγνω,"
Od.,1,3,3,ἀνθρώπων,ἄνθρωπος,3,–––,auto,1,"πολλῶν δ’ ἀνθρώπων ἴδεν ἄστεα καὶ νόον ἔγνω,"
Od.,1,3,4,ἴδεν,εἶδον,6,⏑⏑,auto,1,"πολλῶν δ’ ἀνθρώπων ἴδεν ἄστεα καὶ νόον ἔγνω,"
Od.,1,3,5,ἄστεα,ἄστυ,7,–⏑⏑,auto,1,"πολλῶν δ’ ἀνθρώπων ἴδεν ἄστεα καὶ νόον ἔγνω,"
Od.,1,3,6,καὶ,καί,9,–,auto,1,"πολλῶν δ’ ἀνθρώπων ἴδεν ἄστεα καὶ νόον ἔγνω,"
Od.,1,3,7,νόον,νόος,10,⏑⏑,auto,1,"πολλῶν δ’ ἀνθρώπων ἴδεν ἄστεα καὶ νόον ἔγνω,"
Od.,1,3,8,ἔγνω,γιγνώσκω,11,––,auto,1,"πολλῶν δ’ ἀνθρώπων ἴδεν ἄστεα καὶ νόον ἔγνω,"
Od.,1,4,1,πολλὰ,πολύς,1,–⏑,auto,1,"πολλὰ δ’ ὅ γ’ ἐν πόντῳ πάθεν ἄλγεα ὃν κατὰ θυμόν,"
Od.,1,4,2,δ’,δέ,2.5,,auto,1,"πολλὰ δ’ ὅ γ’ ἐν πόντῳ πάθεν ἄλγεα ὃν κατὰ θυμόν,"
Od.,1,4,3,ὅ,ὁ,2.5,⏑,auto,1,"πολλὰ δ’ ὅ γ’ ἐν πόντῳ πάθεν ἄλγεα ὃν κατὰ θυμόν,"
Od.,1,4,4,γ’,γε,3,,auto,1,"πολλὰ δ’ ὅ γ’ ἐν πόντῳ πάθεν ἄλγεα ὃν κατὰ θυμόν,"
Od.,1,4,5,ἐν,ἐν,3,–,auto,1,"πολλὰ δ’ ὅ γ’ ἐν πόντῳ πάθεν ἄλγεα ὃν κατὰ θυμόν,"
Od.,1,4,6,πόντῳ,πόντος,4,––,auto,1,"πολλὰ δ’ ὅ γ’ ἐν πόντῳ πάθεν ἄλγεα ὃν κατὰ θυμόν,"
Od.,1,4,7,πάθεν,πάσχω,6,⏑⏑,auto,1,"πολλὰ δ’ ὅ γ’ ἐν πόντῳ πάθεν ἄλγεα ὃν κατὰ θυμόν,"
Od.,1,4,8,ἄλγεα,ἄλγος,7,–⏑⏑,auto,1,"πολλὰ δ’ ὅ γ’ ἐν πόντῳ πάθεν ἄλγεα ὃν κατὰ θυμόν,"
Od.,1,4,9,ὃν,ὅς,9,–,auto,1,"πολλὰ δ’ ὅ γ’ ἐν πόντῳ πάθεν ἄλγεα ὃν κατὰ θυμόν,"
Od.,1,4,10,κατὰ,κατά,10,⏑⏑,auto,1,"πολλὰ δ’ ὅ γ’ ἐν πόντῳ πάθεν ἄλγεα ὃν κατὰ θυμόν,"
Od.,1,4,11,θυμόν,θυμός,11,––,auto,1,"πολλὰ δ’ ὅ γ’ ἐν πόντῳ πάθεν ἄλγεα ὃν κατὰ θυμόν,"
Od.,1,5,1,ἀρνύμενος,ἄρνυμαι,1,–⏑⏑–,auto,1,ἀρνύμενος ἥν τε ψυχὴν καὶ νόστον ἑταίρων.
Od.,1,5,2,ἥν,ὅς,4,–,auto,1,ἀρνύμενος ἥν τε ψυχὴν καὶ νόστον ἑταίρων.
Od.,1,5,3,τε,τε,5,–,auto,1,ἀρνύμενος ἥν τε ψυχὴν καὶ νόστον ἑταίρων.
Od.,1,5,4,ψυχὴν,ψυχή,6,––,auto,1,ἀρνύμενος ἥν τε ψυχὴν καὶ νόστον ἑταίρων.
Od.,1,5,5,καὶ,καί,8,–,auto,1,ἀρνύμενος ἥν τε ψυχὴν καὶ νόστον ἑταίρων.
Od.,1,5,6,νόστον,νόστος,9,–⏑,auto,1,ἀρνύμενος ἥν τε ψυχὴν καὶ νόστον ἑταίρων.
Od.,1,5,7,ἑταίρων,ἑταῖρος,10.5,⏑––,auto,1,ἀρνύμενος ἥν τε ψυχὴν καὶ νόστον ἑταίρων.
Od.,1,6,1,ἀλλ’,ἀλλά,1,–,manual,1,"ἀλλ’ οὐδ’ ὣς ἑτάρους ἐρρύσατο, ἱέμενός περ·"
Od.,1,6,2,οὐδ’,οὐδέ,2,–,manual,1,"ἀλλ’ οὐδ’ ὣς ἑτάρους ἐρρύσατο, ἱέμενός περ·"
Od.,1,6,3,ὣς,ὡς,3,–,manual,1,"ἀλλ’ οὐδ’ ὣς ἑτάρους ἐρρύσατο, ἱέμενός περ·"
Od.,1,6,4,ἑτάρους,ἑταῖρος,4,⏑⏑–,manual,1,"ἀλλ’ οὐδ’ ὣς ἑτάρους ἐρρύσατο, ἱέμενός περ·"
Od.,1,6,5,ἐρρύσατο,ῥύομαι,6,––⏑⏑,manual,1,"ἀλλ’ οὐδ’ ὣς ἑτάρους ἐρρύσατο, ἱέμενός περ·"
Od.,1,6,6,ἱέμενός,ἵημι,9,–⏑⏑–,manual,1,"ἀλλ’ οὐδ’ ὣς ἑτάρους ἐρρύσατο, ἱέμενός περ·"
Od.,1,6,7,περ,περ,12,–,manual,1,"ἀλλ’ οὐδ’ ὣς ἑτάρους ἐρρύσατο, ἱέμενός περ·"
Od.,1,7,1,αὐτῶν,αὐτός,1,––,auto,1,"αὐτῶν γὰρ σφετέρῃσιν ἀτασθαλίῃσιν ὄλοντο,"
Od.,1,7,2,γὰρ,γάρ,3,–,auto,1,"αὐτῶν γὰρ σφετέρῃσιν ἀτασθαλίῃσιν ὄλοντο,"
Od.,1,7,3,σφετέρῃσιν,σφέτερος,4,⏑⏑–⏑,auto,1,"αὐτῶν γὰρ σφετέρῃσιν ἀτασθαλίῃσιν ὄλοντο,"
Od.,1,7,4,ἀτασθαλίῃσιν,ἀτασθαλία,6.5,⏑–⏑⏑–⏑,auto,1,"αὐτῶν γὰρ σφετέρῃσιν ἀτασθαλίῃσιν ὄλοντο,"
Od.,1,7,5,ὄλοντο,ὄλλυμι,10.5,⏑––,auto,1,"αὐτῶν γὰρ σφετέρῃσιν ἀτασθαλίῃσιν ὄλοντο,"
Od.,1,8,1,νήπιοι,νήπιος,1,–⏑⏑,auto,1,"νήπιοι, οἳ κατὰ βοῦς Ὑπερίονος Ἠελίοιο"
Od.,1,8,2,οἳ,ὁ,3,–,auto,1,"νήπιοι, οἳ κατὰ βοῦς Ὑπερίονος Ἠελίοιο"
