work,book_n,line_n,word_n,word,lemma,sedes,metrical_shape,scanned,num_scansions,line_text
Q.S.,1,1,1,εὖθ’,εὖτε,1,–,auto,1,Εὖθ’ ὑπὸ Πηλείωνι δάμη θεοείκελος Ἕκτωρ
Q.S.,1,1,2,ὑπὸ,ὑπό,2,⏑⏑,auto,1,Εὖθ’ ὑπὸ Πηλείωνι δάμη θεοείκελος Ἕκτωρ
Q.S.,1,1,3,πηλείωνι,πηλείων,3,–––⏑,auto,1,Εὖθ’ ὑπὸ Πηλείωνι δάμη θεοείκελος Ἕκτωρ
Q.S.,1,1,4,δάμη,δαμάζω,6.5,⏑–,auto,1,Εὖθ’ ὑπὸ Πηλείωνι δάμη θεοείκελος Ἕκτωρ
Q.S.,1,1,5,θεοείκελος,θεοείκελος,8,⏑⏑–⏑⏑,auto,1,Εὖθ’ ὑπὸ Πηλείωνι δάμη θεοείκελος Ἕκτωρ
Q.S.,1,1,6,ἕκτωρ,ἕκτωρ,11,––,auto,1,Εὖθ’ ὑπὸ Πηλείωνι δάμη θεοείκελος Ἕκτωρ
Q.S.,1,2,1,καί,καί,1,–,auto,1,"καί ἑ πυρὴ κατέδαψε καὶ ὀστέα γαῖα κεκεύθει,"
Q.S.,1,2,2,ἑ,ἕ,2,⏑,auto,1,"καί ἑ πυρὴ κατέδαψε καὶ ὀστέα γαῖα κεκεύθει,"
Q.S.,1,2,3,πυρὴ,πυρή,2.5,⏑–,auto,1,"καί ἑ πυρὴ κατέδαψε καὶ ὀστέα γαῖα κεκεύθει,"
Q.S.,1,2,4,κατέδαψε,καταδάπτω,4,⏑⏑–⏑,auto,1,"καί ἑ πυρὴ κατέδαψε καὶ ὀστέα γαῖα κεκεύθει,"
Q.S.,1,2,5,καὶ,καί,6.5,⏑,auto,1,"καί ἑ πυρὴ κατέδαψε καὶ ὀστέα γαῖα κεκεύθει,"
Q.S.,1,2,6,ὀστέα,ὀστέον,7,–⏑⏑,auto,1,"καί ἑ πυρὴ κατέδαψε καὶ ὀστέα γαῖα κεκεύθει,"
