work,book_n,line_n,word_n,word,lemma,sedes,metrical_shape,scanned,num_scansions,line_text
Sh.,,1,1,ἢ,ἤ,1,–,auto,1,ἢ οἵη προλιποῦσα δόμους καὶ πατρίδα γαῖαν
Sh.,,1,2,οἵη,οἷος,2,––,auto,1,ἢ οἵη προλιποῦσα δόμους καὶ πατρίδα γαῖαν
Sh.,,1,3,προλιποῦσα,προλείπω,4,⏑⏑–⏑,auto,1,ἢ οἵη προλιποῦσα δόμους καὶ πατρίδα γαῖαν
Sh.,,1,4,δόμους,δόμος,6.5,⏑–,auto,1,ἢ οἵη προλιποῦσα δόμους καὶ πατρίδα γαῖαν
Sh.,,1,5,καὶ,καί,8,–,auto,1,ἢ οἵη προλιποῦσα δόμους καὶ πατρίδα γαῖαν
Sh.,,1,6,πατρίδα,πατρίς,9,–⏑⏑,auto,1,ἢ οἵη προλιποῦσα δόμους καὶ πατρίδα γαῖαν
Sh.,,1,7,γαῖαν,γαῖα,11,––,auto,1,ἢ οἵη προλιποῦσα δόμους καὶ πατρίδα γαῖαν
Sh.,,2,1,ἤλυθεν,ἔρχομαι,1,–⏑⏑,auto,1,ἤλυθεν ἐς Θήβας μετ’ ἀρήιον Ἀμφιτρύωνα
Sh.,,2,2,ἐς,εἰς,3,–,auto,1,ἤλυθεν ἐς Θήβας μετ’ ἀρήιον Ἀμφιτρύωνα
Sh.,,2,3,θήβας,θῆβαι,4,––,auto,1,ἤλυθεν ἐς Θήβας μετ’ ἀρήιον Ἀμφιτρύωνα
Sh.,,2,4,μετ’,μετά,6,⏑,auto,1,ἤλυθεν ἐς Θήβας μετ’ ἀρήιον Ἀμφιτρύωνα
Sh.,,2,5,ἀρήιον,ἄρειος,6.5,⏑–⏑⏑,auto,1,ἤλυθεν ἐς Θήβας μετ’ ἀρήιον Ἀμφιτρύωνα
Sh.,,2,6,ἀμφιτρύωνα,ἀμφιτρύων,9,–⏑⏑––,auto,1,ἤλυθεν ἐς Θήβας μετ’ ἀρήιον Ἀμφιτρύωνα
Sh.,,3,1,ἀλκμήνη,ἀλκμήνη,1,–––,manual,1,"Ἀλκμήνη, θυγάτηρ λαοσσόου Ἠλεκτρύωνος·"
Sh.,,3,2,θυγάτηρ,θυγάτηρ,4,⏑⏑–,manual,1,"Ἀλκμήνη, θυγάτηρ λαοσσόου Ἠλεκτρύωνος·"
Sh.,,3,3,λαοσσόου,λαοσσόος,6,––⏑⏑,manual,1,"Ἀλκμήνη, θυγάτηρ λαοσσόου Ἠλεκτρύωνος·"
Sh.,,3,4,ἠλεκτρύωνος,ἠλεκτρύων,9,–⏑⏑––,manual,1,"Ἀλκμήνη, θυγάτηρ λαοσσόου Ἠλεκτρύωνος·"
Sh.,,4,1,ἥ,ὅς,1,–,auto,1,ἥ ῥα γυναικῶν φῦλον ἐκαίνυτο θηλυτεράων
