work,book_n,line_n,word_n,word,lemma,sedes,metrical_shape,scanned,num_scansions,line_text
Theoc.,1,1,1,ἁδύ,ἡδύς,1,–⏑,auto,1,"Ἁδύ τι τὸ ψιθύρισμα καὶ ἁ πίτυς αἰπόλε τήνα,"
Theoc.,1,1,2,τι,τις,2.5,⏑,auto,1,"Ἁδύ τι τὸ ψιθύρισμα καὶ ἁ πίτυς αἰπόλε τήνα,"
Theoc.,1,1,3,τὸ,ὁ,3,–,auto,1,"Ἁδύ τι τὸ ψιθύρισμα καὶ ἁ πίτυς αἰπόλε τήνα,"
Theoc.,1,1,4,ψιθύρισμα,ψιθύρισμα,4,⏑⏑–⏑,auto,1,"Ἁδύ τι τὸ ψιθύρισμα καὶ ἁ πίτυς αἰπόλε τήνα,"
Theoc.,1,1,5,καὶ,καί,6.5,⏑,auto,1,"Ἁδύ τι τὸ ψιθύρισμα καὶ ἁ πίτυς αἰπόλε τήνα,"
Theoc.,1,1,6,ἁ,ὁ,7,–,auto,1,"Ἁδύ τι τὸ ψιθύρισμα καὶ ἁ πίτυς αἰπόλε τήνα,"
Theoc.,1,1,7,πίτυς,πίτυς,8,⏑⏑,auto,1,"Ἁδύ τι τὸ ψιθύρισμα καὶ ἁ πίτυς αἰπόλε τήνα,"
Theoc.,1,1,8,αἰπόλε,αἰπόλος,9,–⏑⏑,auto,1,"Ἁδύ τι τὸ ψιθύρισμα καὶ ἁ πίτυς αἰπόλε τήνα,"
Theoc.,1,1,9,τήνα,ἐκεῖνος,11,––,auto,1,"Ἁδύ τι τὸ ψιθύρισμα καὶ ἁ πίτυς αἰπόλε τήνα,"
Theoc.,1,2,1,ἃ,ὅς,1,–,auto,1,"ἃ ποτὶ ταῖς παγαῖσι μελίσδεται, ἁδὺ δὲ καὶ τὺ"
Theoc.,1,2,2,ποτὶ,πρός,2,⏑⏑,auto,1,"ἃ ποτὶ ταῖς παγαῖσι μελίσδεται, ἁδὺ δὲ καὶ τὺ"
Theoc.,1,2,3,ταῖς,ὁ,3,–,auto,1,"ἃ ποτὶ ταῖς παγαῖσι μελίσδεται, ἁδὺ δὲ καὶ τὺ"
Theoc.,1,2,4,παγαῖσι,πηγή,4,––⏑,auto,1,"ἃ ποτὶ ταῖς παγαῖσι μελίσδεται, ἁδὺ δὲ καὶ τὺ"
Theoc.,1,2,5,μελίσδεται,μελίσσω,6.5,⏑–⏑⏑,auto,1,"ἃ ποτὶ ταῖς παγαῖσι μελίσδεται, ἁδὺ δὲ καὶ τὺ"
Theoc.,1,2,6,ἁδὺ,ἡδύς,9,–⏑,auto,1,"ἃ ποτὶ ταῖς παγαῖσι μελίσδεται, ἁδὺ δὲ καὶ τὺ"
Theoc.,1,2,7,δὲ,δέ,10.5,⏑,auto,1,"ἃ ποτὶ ταῖς παγαῖσι μελίσδεται, ἁδὺ δὲ καὶ τὺ"
Theoc.,1,2,8,καὶ,καί,11,–,auto,1,"ἃ ποτὶ ταῖς παγαῖσι μελίσδεται, ἁδὺ δὲ καὶ τὺ"
Theoc.,1,2,9,τὺ,σύ,12,–,auto,1,"ἃ ποτὶ ταῖς παγαῖσι μελίσδεται, ἁδὺ δὲ καὶ τὺ"
Theoc.,1,3,1,συρίσδες,συρίζω,1,–––,auto,1,συρίσδες· μετὰ Πᾶνα τὸ δεύτερον ἆθλον ἀποισῇ.
Theoc.,1,3,2,μετὰ,μετά,4,⏑⏑,auto,1,συρίσδες· μετὰ Πᾶνα τὸ δεύτερον ἆθλον ἀποισῇ.
Theoc.,1,3,3,πᾶνα,πάν,5,–⏑,auto,1,συρίσδες· μετὰ Πᾶνα τὸ δεύτερον ἆθλον ἀποισῇ.
Theoc.,1,3,4,τὸ,ὁ,6.5,⏑,auto,1,συρίσδες· μετὰ Πᾶνα τὸ δεύτερον ἆθλον ἀποισῇ.
Theoc.,1,3,5,δεύτερον,δεύτερος,7,–⏑⏑,auto,1,συρίσδες· μετὰ Πᾶνα τὸ δεύτερον ἆθλον ἀποισῇ.
Theoc.,1,3,6,ἆθλον,ἆθλος,9,–⏑,auto,1,συρίσδες· μετὰ Πᾶνα τὸ δεύτερον ἆθλον ἀποισῇ.
Theoc.,1,3,7,ἀποισῇ,ἀποφέρω,10.5,⏑––,auto,1,συρίσδες· μετὰ Πᾶνα τὸ δεύτερον ἆθλον ἀποισῇ.
Theoc.,1,4,1,αἴκα,ἐάν,1,––,auto,1,"αἴκα τῆνος ἕλῃ κεραὸν τράγον, αἶγα τὺ λαψῇ."
Theoc.,1,4,2,τῆνος,ἐκεῖνος,3,–⏑,auto,1,"αἴκα τῆνος ἕλῃ κεραὸν τράγον, αἶγα τὺ λαψῇ."
Theoc.,1,4,3,ἕλῃ,αἱρέω,4.5,⏑–,auto,1,"αἴκα τῆνος ἕλῃ κεραὸν τράγον, αἶγα τὺ λαψῇ."
Theoc.,1,4,4,κεραὸν,κεραός,6,⏑⏑–,auto,1,"αἴκα τῆνος ἕλῃ κεραὸν τράγον, αἶγα τὺ λαψῇ."
Theoc.,1,4,5,τράγον,τρώγω,8,⏑⏑,auto,1,"αἴκα τῆνος ἕλῃ κεραὸν τράγον, αἶγα τὺ λαψῇ."
Theoc.,1,4,6,αἶγα,αἴξ,9,–⏑,auto,1,"αἴκα τῆνος ἕλῃ κεραὸν τράγον, αἶγα τὺ λαψῇ."
Theoc.,1,4,7,τὺ,σύ,10.5,⏑,auto,1,"αἴκα τῆνος ἕλῃ κεραὸν τράγον, αἶγα τὺ λαψῇ."
Theoc.,1,4,8,λαψῇ,λάπτω,11,––,auto,1,"αἴκα τῆνος ἕλῃ κεραὸν τράγον, αἶγα τὺ λαψῇ."
Theoc.,1,5,1,αἴκα,ἐάν,1,––,auto,1,"αἴκα δ’ αἶγα λάβῃ τῆνος γέρας, ἐς τὲ καταρρεῖ"
Theoc.,1,5,2,δ’,δέ,3,,auto,1,"αἴκα δ’ αἶγα λάβῃ τῆνος γέρας, ἐς τὲ καταρρεῖ"
Theoc.,1,5,3,αἶγα,αἴξ,3,–⏑,auto,1,"αἴκα δ’ αἶγα λάβῃ τῆνος γέρας, ἐς τὲ καταρρεῖ"
Theoc.,1,5,4,λάβῃ,λαμβάνω,4.5,⏑–,auto,1,"αἴκα δ’ αἶγα λάβῃ τῆνος γέρας, ἐς τὲ καταρρεῖ"
Theoc.,1,5,5,τῆνος,ἐκεῖνος,6,––,auto,1,"αἴκα δ’ αἶγα λάβῃ τῆνος γέρας, ἐς τὲ καταρρεῖ"
Theoc.,1,5,6,γέρας,γέρας,8,⏑⏑,auto,1,"αἴκα δ’ αἶγα λάβῃ τῆνος γέρας, ἐς τὲ καταρρεῖ"
Theoc.,1,5,7,ἐς,εἰς,9,–,auto,1,"αἴκα δ’ αἶγα λάβῃ τῆνος γέρας, ἐς τὲ καταρρεῖ"
Theoc.,1,5,8,τὲ,τε,10,⏑,auto,1,"αἴκα δ’ αἶγα λάβῃ τῆνος γέρας, ἐς τὲ καταρρεῖ"
Theoc.,1,5,9,καταρρεῖ,καταρρέω,10.5,⏑––,auto,1,"αἴκα δ’ αἶγα λάβῃ τῆνος γέρας, ἐς τὲ καταρρεῖ"
Theoc.,1,6,1,ἁ,ὁ,1,–,auto,1,"ἁ χίμαρος· χιμάρῳ δὲ καλὸν κρέας, ἕστέ κ’ ἀμέλξῃς."
Theoc.,1,6,2,χίμαρος,χίμαρος,2,⏑⏑–,auto,1,"ἁ χίμαρος· χιμάρῳ δὲ καλὸν κρέας, ἕστέ κ’ ἀμέλξῃς."
Theoc.,1,6,3,χιμάρῳ,χίμαρος,4,⏑⏑–,auto,1,"ἁ χίμαρος· χιμάρῳ δὲ καλὸν κρέας, ἕστέ κ’ ἀμέλξῃς."
Theoc.,1,6,4,δὲ,δέ,6,⏑,auto,1,"ἁ χίμαρος· χιμάρῳ δὲ καλὸν κρέας, ἕστέ κ’ ἀμέλξῃς."
Theoc.,1,6,5,καλὸν,καλός,6.5,⏑–,auto,1,"ἁ χίμαρος· χιμάρῳ δὲ καλὸν κρέας, ἕστέ κ’ ἀμέλξῃς."
Theoc.,1,6,6,κρέας,κρέας,8,⏑⏑,auto,1,"ἁ χίμαρος· χιμάρῳ δὲ καλὸν κρέας, ἕστέ κ’ ἀμέλξῃς."
Theoc.,1,6,7,ἕστέ,ἵστημι,9,–⏑,auto,1,"ἁ χίμαρος· χιμάρῳ δὲ καλὸν κρέας, ἕστέ κ’ ἀμέλξῃς."
Theoc.,1,6,8,κ’,ἄν1,10.5,,auto,1,"ἁ χίμαρος· χιμάρῳ δὲ καλὸν κρέας, ἕστέ κ’ ἀμέλξῃς."
Theoc.,1,6,9,ἀμέλξῃς,ἀμέλγω,10.5,⏑––,auto,1,"ἁ χίμαρος· χιμάρῳ δὲ καλὸν κρέας, ἕστέ κ’ ἀμέλξῃς."
Theoc.,1,7,1,ἅδιον,δίω,1,–⏑⏑,auto,1,Ἅδιον ὦ ποιμὴν τὸ τεὸν μέλος ἢ τὸ καταχὲς
Theoc.,1,7,2,ὦ,ὦ,3,–,auto,1,Ἅδιον ὦ ποιμὴν τὸ τεὸν μέλος ἢ τὸ καταχὲς
Theoc.,1,7,3,ποιμὴν,ποιμήν,4,––,auto,1,Ἅδιον ὦ ποιμὴν τὸ τεὸν μέλος ἢ τὸ καταχὲς
Theoc.,1,7,4,τὸ,ὁ,6,⏑,auto,1,Ἅδιον ὦ ποιμὴν τὸ τεὸν μέλος ἢ τὸ καταχὲς
Theoc.,1,7,5,τεὸν,τεός,6.5,⏑–,auto,1,Ἅδιον ὦ ποιμὴν τὸ τεὸν μέλος ἢ τὸ καταχὲς
Theoc.,1,7,6,μέλος,μέλος,8,⏑⏑,auto,1,Ἅδιον ὦ ποιμὴν τὸ τεὸν μέλος ἢ τὸ καταχὲς
Theoc.,1,7,7,ἢ,ἤ,9,–,auto,1,Ἅδιον ὦ ποιμὴν τὸ τεὸν μέλος ἢ τὸ καταχὲς
Theoc.,1,7,8,τὸ,ὁ,10,⏑,auto,1,Ἅδιον ὦ ποιμὴν τὸ τεὸν μέλος ἢ τὸ καταχὲς
Theoc.,1,7,9,καταχὲς,καταχής,10.5,⏑––,auto,1,Ἅδιον ὦ ποιμὴν τὸ τεὸν μέλος ἢ τὸ καταχὲς
Theoc.,1,8,1,τῆν’,ἐκεῖνος,1,–,auto,1,τῆν’ ἀπὸ τᾶς πέτρας καταλείβεται ὑψόθεν ὕδωρ.
Theoc.,1,8,2,ἀπὸ,ἀπό,2,⏑⏑,auto,1,τῆν’ ἀπὸ τᾶς πέτρας καταλείβεται ὑψόθεν ὕδωρ.
Theoc.,1,8,3,τᾶς,ὁ,3,–,auto,1,τῆν’ ἀπὸ τᾶς πέτρας καταλείβεται ὑψόθεν ὕδωρ.
Theoc.,1,8,4,πέτρας,πέτρα,4,––,auto,1,τῆν’ ἀπὸ τᾶς πέτρας καταλείβεται ὑψόθεν ὕδωρ.
Theoc.,1,8,5,καταλείβεται,καταλείβω,6,⏑⏑–⏑⏑,auto,1,τῆν’ ἀπὸ τᾶς πέτρας καταλείβεται ὑψόθεν ὕδωρ.
Theoc.,1,8,6,ὑψόθεν,ὑψόθεν,9,–⏑⏑,auto,1,τῆν’ ἀπὸ τᾶς πέτρας καταλείβεται ὑψόθεν ὕδωρ.
Theoc.,1,8,7,ὕδωρ,ὕδωρ,11,––,auto,1,τῆν’ ἀπὸ τᾶς πέτρας καταλείβεται ὑψόθεν ὕδωρ.
Theoc.,1,9,1,αἴκα,ἐάν,1,––,auto,1,"αἴκα ταὶ Μοῖσαι τὰν οἰίδα δῶρον ἄγωνται,"
Theoc.,1,9,2,ταὶ,ὁ,3,–,auto,1,"αἴκα ταὶ Μοῖσαι τὰν οἰίδα δῶρον ἄγωνται,"
Theoc.,1,9,3,μοῖσαι,μοῦσα,4,––,auto,1,"αἴκα ταὶ Μοῖσαι τὰν οἰίδα δῶρον ἄγωνται,"
Theoc.,1,9,4,τὰν,ὁ,6,–,auto,1,"αἴκα ταὶ Μοῖσαι τὰν οἰίδα δῶρον ἄγωνται,"
Theoc.,1,9,5,οἰίδα,οἰίδα,7,–⏑⏑,auto,1,"αἴκα ταὶ Μοῖσαι τὰν οἰίδα δῶρον ἄγωνται,"
Theoc.,1,9,6,δῶρον,δῶρον,9,–⏑,auto,1,"αἴκα ταὶ Μοῖσαι τὰν οἰίδα δῶρον ἄγωνται,"
Theoc.,1,9,7,ἄγωνται,ἄγω,10.5,⏑––,auto,1,"αἴκα ταὶ Μοῖσαι τὰν οἰίδα δῶρον ἄγωνται,"
Theoc.,1,10,1,ἄρνα,ἀρήν,1,–⏑,manual,1,ἄρνα τὺ σακίταν λαψῇ γέρας· αἰ δέ κ’ ἀρέσκῃ
Theoc.,1,10,2,τὺ,σύ,2.5,⏑,manual,1,ἄρνα τὺ σακίταν λαψῇ γέρας· αἰ δέ κ’ ἀρέσκῃ
Theoc.,1,10,3,σακίταν,σηκίτης,3,–––,manual,1,ἄρνα τὺ σακίταν λαψῇ γέρας· αἰ δέ κ’ ἀρέσκῃ
Theoc.,1,10,4,λαψῇ,λάπτω,6,––,manual,1,ἄρνα τὺ σακίταν λαψῇ γέρας· αἰ δέ κ’ ἀρέσκῃ
Theoc.,1,10,5,γέρας,γέρας,8,⏑⏑,manual,1,ἄρνα τὺ σακίταν λαψῇ γέρας· αἰ δέ κ’ ἀρέσκῃ
Theoc.,1,10,6,αἰ,εἰ,9,–,manual,1,ἄρνα τὺ σακίταν λαψῇ γέρας· αἰ δέ κ’ ἀρέσκῃ
Theoc.,1,10,7,δέ,δέ,10,⏑,manual,1,ἄρνα τὺ σακίταν λαψῇ γέρας· αἰ δέ κ’ ἀρέσκῃ
Theoc.,1,10,8,κ’,ἄν1,10.5,,manual,1,ἄρνα τὺ σακίταν λαψῇ γέρας· αἰ δέ κ’ ἀρέσκῃ
Theoc.,1,10,9,ἀρέσκῃ,ἀρέσκω,10.5,⏑––,manual,1,ἄρνα τὺ σακίταν λαψῇ γέρας· αἰ δέ κ’ ἀρέσκῃ
Theoc.,1,11,1,τήναις,ἐκεῖνος,1,––,auto,1,"τήναις ἄρνα λαβεῖν, τὺ δὲ τὰν ὄιν ὕστερον ἀξῇ."
Theoc.,1,11,2,ἄρνα,ἀρήν,3,–⏑,auto,1,"τήναις ἄρνα λαβεῖν, τὺ δὲ τὰν ὄιν ὕστερον ἀξῇ."
Theoc.,1,11,3,λαβεῖν,λαμβάνω,4.5,⏑–,auto,1,"τήναις ἄρνα λαβεῖν, τὺ δὲ τὰν ὄιν ὕστερον ἀξῇ."
Theoc.,1,11,4,τὺ,σύ,6,⏑,auto,1,"τήναις ἄρνα λαβεῖν, τὺ δὲ τὰν ὄιν ὕστερον ἀξῇ."
Theoc.,1,11,5,δὲ,δέ,6.5,⏑,auto,1,"τήναις ἄρνα λαβεῖν, τὺ δὲ τὰν ὄιν ὕστερον ἀξῇ."
Theoc.,1,11,6,τὰν,ὁ,7,–,auto,1,"τήναις ἄρνα λαβεῖν, τὺ δὲ τὰν ὄιν ὕστερον ἀξῇ."
Theoc.,1,11,7,ὄιν,ὄις,8,⏑⏑,auto,1,"τήναις ἄρνα λαβεῖν, τὺ δὲ τὰν ὄιν ὕστερον ἀξῇ."
Theoc.,1,11,8,ὕστερον,ὕστερος,9,–⏑⏑,auto,1,"τήναις ἄρνα λαβεῖν, τὺ δὲ τὰν ὄιν ὕστερον ἀξῇ."
Theoc.,1,11,9,ἀξῇ,ἄγνυμι,11,––,auto,1,"τήναις ἄρνα λαβεῖν, τὺ δὲ τὰν ὄιν ὕστερον ἀξῇ."
Theoc.,1,12,1,λῇς,λάω,1,–,auto,1,"λῇς ποτὶ τᾶν Νυμφᾶν, λῇς αἰπόλε τεῖδε καθίξας,"
Theoc.,1,12,2,ποτὶ,πρός,2,⏑⏑,auto,1,"λῇς ποτὶ τᾶν Νυμφᾶν, λῇς αἰπόλε τεῖδε καθίξας,"
Theoc.,1,12,3,τᾶν,ὁ,3,–,auto,1,"λῇς ποτὶ τᾶν Νυμφᾶν, λῇς αἰπόλε τεῖδε καθίξας,"
Theoc.,1,12,4,νυμφᾶν,νύμφη,4,––,auto,1,"λῇς ποτὶ τᾶν Νυμφᾶν, λῇς αἰπόλε τεῖδε καθίξας,"
Theoc.,1,12,5,λῇς,λάω,6,–,auto,1,"λῇς ποτὶ τᾶν Νυμφᾶν, λῇς αἰπόλε τεῖδε καθίξας,"
Theoc.,1,12,6,αἰπόλε,αἰπόλος,7,–⏑⏑,auto,1,"λῇς ποτὶ τᾶν Νυμφᾶν, λῇς αἰπόλε τεῖδε καθίξας,"
Theoc.,1,12,7,τεῖδε,τεῖδε,9,–⏑,auto,1,"λῇς ποτὶ τᾶν Νυμφᾶν, λῇς αἰπόλε τεῖδε καθίξας,"
Theoc.,1,12,8,καθίξας,καθίζω,10.5,⏑––,auto,1,"λῇς ποτὶ τᾶν Νυμφᾶν, λῇς αἰπόλε τεῖδε καθίξας,"
Theoc.,1,13,1,ὡς,ὡς,1,–,auto,1,"ὡς τὸ κάταντες τοῦτο γεώλοφον αἵ τε μυρῖκαι,"
Theoc.,1,13,2,τὸ,ὁ,2,⏑,auto,1,"ὡς τὸ κάταντες τοῦτο γεώλοφον αἵ τε μυρῖκαι,"
Theoc.,1,13,3,κάταντες,κατάντης,2.5,⏑––,auto,1,"ὡς τὸ κάταντες τοῦτο γεώλοφον αἵ τε μυρῖκαι,"
Theoc.,1,13,4,τοῦτο,οὗτος,5,–⏑,auto,1,"ὡς τὸ κάταντες τοῦτο γεώλοφον αἵ τε μυρῖκαι,"
Theoc.,1,13,5,γεώλοφον,γεώλοφος,6.5,⏑–⏑⏑,auto,1,"ὡς τὸ κάταντες τοῦτο γεώλοφον αἵ τε μυρῖκαι,"
Theoc.,1,13,6,αἵ,ὅς,9,–,auto,1,"ὡς τὸ κάταντες τοῦτο γεώλοφον αἵ τε μυρῖκαι,"
