work,book_n,line_n,word_n,word,lemma,sedes,metrical_shape,scanned,num_scansions,line_text
Theog.,,1,1,μουσάων,Μοῦσα,1,–––,auto,1,"Μουσάων Ἑλικωνιάδων ἀρχώμεθ’ ἀείδειν,"
Theog.,,1,2,ἑλικωνιάδων,ἑλικωνιάδες,4,⏑⏑–⏑⏑–,auto,1,"Μουσάων Ἑλικωνιάδων ἀρχώμεθ’ ἀείδειν,"
Theog.,,1,3,ἀρχώμεθ’,ἄρχω,8,––⏑,auto,1,"Μουσάων Ἑλικωνιάδων ἀρχώμεθ’ ἀείδειν,"
Theog.,,1,4,ἀείδειν,ἀείδω,10.5,⏑––,auto,1,"Μουσάων Ἑλικωνιάδων ἀρχώμεθ’ ἀείδειν,"
Theog.,,2,1,αἵθ’,ὅστε,1,–,auto,1,αἵθ’ Ἑλικῶνος ἔχουσιν ὄρος μέγα τε ζάθεόν τε
Theog.,,2,2,ἑλικῶνος,ἑλικών,2,⏑⏑–⏑,auto,1,αἵθ’ Ἑλικῶνος ἔχουσιν ὄρος μέγα τε ζάθεόν τε
Theog.,,2,3,ἔχουσιν,ἔχω,4.5,⏑–⏑,auto,1,αἵθ’ Ἑλικῶνος ἔχουσιν ὄρος μέγα τε ζάθεόν τε
Theog.,,2,4,ὄρος,ὄρος,6.5,⏑–,auto,1,αἵθ’ Ἑλικῶνος ἔχουσιν ὄρος μέγα τε ζάθεόν τε
Theog.,,2,5,μέγα,μέγας,8,⏑⏑,auto,1,αἵθ’ Ἑλικῶνος ἔχουσιν ὄρος μέγα τε ζάθεόν τε
Theog.,,2,6,τε,τε,9,–,auto,1,αἵθ’ Ἑλικῶνος ἔχουσιν ὄρος μέγα τε ζάθεόν τε
Theog.,,2,7,ζάθεόν,ζάθεος,10,⏑⏑–,auto,1,αἵθ’ Ἑλικῶνος ἔχουσιν ὄρος μέγα τε ζάθεόν τε
Theog.,,2,8,τε,τε,12,–,auto,1,αἵθ’ Ἑλικῶνος ἔχουσιν ὄρος μέγα τε ζάθεόν τε
Theog.,,3,1,καί,καί,1,–,auto,1,καί τε περὶ κρήνην ἰοειδέα πόσσ’ ἁπαλοῖσιν
Theog.,,3,2,τε,τε,2,⏑,auto,1,καί τε περὶ κρήνην ἰοειδέα πόσσ’ ἁπαλοῖσιν
Theog.,,3,3,περὶ,περί,2.5,⏑–,auto,1,καί τε περὶ κρήνην ἰοειδέα πόσσ’ ἁπαλοῖσιν
Theog.,,3,4,κρήνην,κρήνη,4,––,auto,1,καί τε περὶ κρήνην ἰοειδέα πόσσ’ ἁπαλοῖσιν
Theog.,,3,5,ἰοειδέα,ἰοειδής,6,⏑⏑–⏑⏑,auto,1,καί τε περὶ κρήνην ἰοειδέα πόσσ’ ἁπαλοῖσιν
Theog.,,3,6,πόσσ’,πόσσ’,9,–,auto,1,καί τε περὶ κρήνην ἰοειδέα πόσσ’ ἁπαλοῖσιν
Theog.,,3,7,ἁπαλοῖσιν,ἁπαλός,10,⏑⏑––,auto,1,καί τε περὶ κρήνην ἰοειδέα πόσσ’ ἁπαλοῖσιν
Theog.,,4,1,ὀρχεῦνται,ὀρχέομαι,1,–––,auto,1,ὀρχεῦνται καὶ βωμὸν ἐρισθενέος Κρονίωνος.
Theog.,,4,2,καὶ,καί,4,–,auto,1,ὀρχεῦνται καὶ βωμὸν ἐρισθενέος Κρονίωνος.
Theog.,,4,3,βωμὸν,βωμός,5,–⏑,auto,1,ὀρχεῦνται καὶ βωμὸν ἐρισθενέος Κρονίωνος.
Theog.,,4,4,ἐρισθενέος,ἐρισθενής,6.5,⏑–⏑⏑–,auto,1,ὀρχεῦνται καὶ βωμὸν ἐρισθενέος Κρονίωνος.
Theog.,,4,5,κρονίωνος,κρονίων,10,⏑⏑––,auto,1,ὀρχεῦνται καὶ βωμὸν ἐρισθενέος Κρονίωνος.
