work,book_n,line_n,word_n,word,lemma,sedes,metrical_shape,scanned,num_scansions,line_text
W.D.,,1,1,μοῦσαι,Μοῦσα,1,––,auto,1,μοῦσαι Πιερίηθεν ἀοιδῇσιν κλείουσαι
W.D.,,1,2,πιερίηθεν,πιερίηθεν,3,–⏑⏑–⏑,auto,1,μοῦσαι Πιερίηθεν ἀοιδῇσιν κλείουσαι
W.D.,,1,3,ἀοιδῇσιν,ἀοιδή,6.5,⏑–––,auto,1,μοῦσαι Πιερίηθεν ἀοιδῇσιν κλείουσαι
W.D.,,1,4,κλείουσαι,κλείω,10,–––,auto,1,μοῦσαι Πιερίηθεν ἀοιδῇσιν κλείουσαι
W.D.,,2,1,δεῦτε,δεῦτε,1,–⏑,auto,1,"δεῦτε, Δί’ ἐννέπετε, σφέτερον πατέρ’ ὑμνείουσαι·"
W.D.,,2,2,δί’,δῖος,2.5,⏑,auto,1,"δεῦτε, Δί’ ἐννέπετε, σφέτερον πατέρ’ ὑμνείουσαι·"
W.D.,,2,3,ἐννέπετε,ἐνέπω,3,–⏑⏑–,auto,1,"δεῦτε, Δί’ ἐννέπετε, σφέτερον πατέρ’ ὑμνείουσαι·"
W.D.,,2,4,σφέτερον,σφέτερος,6,⏑⏑–,auto,1,"δεῦτε, Δί’ ἐννέπετε, σφέτερον πατέρ’ ὑμνείουσαι·"
W.D.,,2,5,πατέρ’,πατήρ,8,⏑⏑,auto,1,"δεῦτε, Δί’ ἐννέπετε, σφέτερον πατέρ’ ὑμνείουσαι·"
W.D.,,2,6,ὑμνείουσαι,ὑμνέω,9,––––,auto,1,"δεῦτε, Δί’ ἐννέπετε, σφέτερον πατέρ’ ὑμνείουσαι·"
W.D.,,3,1,ὅντε,ὅστε,1,–⏑,auto,1,"ὅντε διὰ βροτοὶ ἄνδρες ὁμῶς ἄφατοί τε φατοί τε,"
W.D.,,3,2,διὰ,διά,2.5,⏑–,auto,1,"ὅντε διὰ βροτοὶ ἄνδρες ὁμῶς ἄφατοί τε φατοί τε,"
W.D.,,3,3,βροτοὶ,βροτός,4,⏑⏑,auto,1,"ὅντε διὰ βροτοὶ ἄνδρες ὁμῶς ἄφατοί τε φατοί τε,"
W.D.,,3,4,ἄνδρες,ἀνήρ,5,–⏑,auto,1,"ὅντε διὰ βροτοὶ ἄνδρες ὁμῶς ἄφατοί τε φατοί τε,"
W.D.,,3,5,ὁμῶς,ὁμῶς,6.5,⏑–,auto,1,"ὅντε διὰ βροτοὶ ἄνδρες ὁμῶς ἄφατοί τε φατοί τε,"
W.D.,,3,6,ἄφατοί,ἄφατος,8,⏑⏑–,auto,1,"ὅντε διὰ βροτοὶ ἄνδρες ὁμῶς ἄφατοί τε φατοί τε,"
W.D.,,3,7,τε,τε,10,⏑,auto,1,"ὅντε διὰ βροτοὶ ἄνδρες ὁμῶς ἄφατοί τε φατοί τε,"
W.D.,,3,8,φατοί,φατός,10.5,⏑–,auto,1,"ὅντε διὰ βροτοὶ ἄνδρες ὁμῶς ἄφατοί τε φατοί τε,"
