"work","start book","end book","start verse","end verse",speaker,"speaker gender","speaker ontology",addressee,"addressee gender","addressee ontology","speaker to addresse relationship","verb of speaking","verse number of verb of speaking","speech genre","type of speech represented",Notes,Questions
Il.,1,1,17,21,Chryses,Male,Mortal,Achaeans,Male,Mortal,,λίσσετο,15,petition,"direct quotation","lines 16 and 17 seem like alternates. ὐμῖν (line 18) seems preposed for rhetorical or pragmatic effect. What do you call the ""θεοὶ δοῖεν"" optative; a wish?",
Il.,1,1,22,23,Achaeans,Male,Mortal,,,,,ἐπευφήμησαν,22,clamor,"indirect speech","There is no distinct addressee; the crowd exclaims to nobody in particular",
Il.,1,1,26,32,Agamemnon,Male,Mortal,Chryses,Male,Mortal,,ἔτελλε,25,"scolding; threat","direct quotation",,
Il.,1,1,37,42,Chryses,Male,Mortal,Apollo,Male,God,,ἠρᾶθ᾽,35,prayer,"direct quotation",,
Il.,1,1,59,67,Achilles,Male,Demigod,Agamemnon,Male,Mortal,superior,μετέφη,58,suggestion,"direct quotation",,
Il.,1,1,64,65,Zeus,Male,"God ",Achaeans,Male,Mortal,,εἴποι,64,explanation,"indirect speech","Potential speech from the future is being described. εἴποι is a potential optative",
Il.,1,1,74,83,Calchas,Male,Mortal,Achilles,Male,Demigod,,μετέειπεν,73,request,"direct quotation",,
Il.,1,1,85,91,Achilles,Male,Demigod,Calchas,Male,Mortal,,προσέφη,84,promise,"direct quotation",,
Il.,1,1,85,85,Calchas,Male,Mortal,Achilles,Male,Demigod,,εἰπὲ,85,revelation,"speech mention","εἰπὲ is an imperative command given by Achilles. He does not specify what exactly he wishes Calchas to say.",
Il.,1,1,91,91,Agamemnon,Male,Mortal,,,,,εὔχεται,91,declaration,"indirect speech","Agamemnon's supposed declaration is not toward anyone in particular.",
Il.,1,1,93,100,Calchas,Male,Mortal,Achaeans,Male,Mortal,,"ηὔδα ",92,"advisory; explanation","direct quotation",,
Il.,1,1,106,120,Agamemnon,Male,Mortal,Calchas,Male,Mortal,,προσέειπε,105,"accusation; demand","direct quotation",,
Il.,1,1,106,108,Calchas,Male,Mortal,,,,,εἶπας,106,comment,"speech mention","While Calchas' speech is about Agamemnon, it is not specified who the audience is. The content of the speech is not stated.",
Il.,1,1,110,113,Calchas,Male,Mortal,Danaans,Male,Mortal,,τεὐχει,110,declaration,"indirect speech",,
Il.,1,1,122,129,Achilles,Male,Demigod,Agamemnon,Male,Mortal,,ἡμείβετ᾽,121,request,"direct quotation",,
Il.,1,1,131,147,Agamemnon,Male,Mortal,"Achilles ",Male,Demigod,subordinate,προσέφη,130,threat,"direct quotation",,
Il.,1,1,149,171,Achilles,Male,Demigod,Agamemnon,Male,Mortal,superior,προσέφη,148,outburst,"direct quotation",,
Il.,1,1,161,161,Agamemnon,Male,Demigod,,,,,ἀπειλεῖς,161,threat,"indirect speech",,
Il.,1,1,173,187,Agamemnon,Male,Mortal,Achilles,Male,Demigod,subordinate,ἠμείβετ',172,threat,"direct quotation",,
Il.,1,1,173,174,Agamemnon,Male,Mortal,Achilles,Male,Demigod,subordinate,λἰσσομαι,174,petition,"indirect speech",,
Il.,1,1,186,187,Anyone,,,Agamemnon,Male,Mortal,,στυγἐῃ,186,declaration,"indirect speech","In his speech, Agamemnon discusses the speech of a general subject in indrect speech.",
Il.,1,1,202,205,Achilles,Male,Demigod,Athena,Female,Goddess,,προσηύδα,201,question,"direct quotation",,
Il.,1,1,204,205,Achilles,Male,Demigod,Athena,Female,Goddess,,ἐρἐω,204,statement,"indirect speech","Within a direct quotation, Achilles discusses his own speech",
Il.,1,1,207,214,Athena,Female,Goddess,Achilles,Male,Demigod,,προσέειπε,206,"advice; order","direct quotation","Line 207: ""αι κε πἰθηαι"" - If you are persuaded. Line 214: ""πειθεο δ᾽ἡμιν"" - Obey us.",
Il.,1,1,216,218,Achilles,Male,Demigod,Athena,Female,Goddess,,προσέφη,215,agreement,"direct quotation",,
Il.,1,1,223,225,Achilles,Male,Demigod,Agamemnon,Male,Mortal,superior,προσέειπε,224,address,"speech mention","The content of Agamemnon's speaking is not yet mentioned.",
Il.,1,1,225,244,Achilles,Male,Demigod,Agamemnon,Male,Mortal,superior,προσέειπε,224,"insult; taunt; declaration","direct quotation","Achilles insults Agamemnon, and then declares that he will no longer fight in the war.",
Il.,1,1,253,253,Nestor,Male,Mortal,Achaeans,Male,Mortal,,ἀγορἠσατο,253,address,"speech mention",,
Il.,1,1,254,284,Nestor,Male,Mortal,Achaeans,Male,Mortal,,μετἐειπεν,253,"address, scolding","direct quotation","Nestor is speaking in assembly to all the Achaeans, but he is addressing Achilles and Agamemnon in particular",
Il.,1,1,286,291,Agamemnon,Male,Mortal,Nestor,Male,Mortal,,προσἐφη,285,"declaration, question","direct quotation","Agamemnon insults Achilles' character",
Il.,1,1,293,303,Achilles,Male,Demigod,Agamemnon,Male,Mortal,superior,ἠμείβετο,292,"taunt, threat","direct quotation","Achilles refuses to further engage with Agamemnon, but dares the king to provoke him further. Then Achilles storms off.",
Il.,1,1,312,313,Agamemnon,Male,Mortal,"Achaean Rowers",Male,Mortal,,κέλευθα,312,"order, command","indirect speech",,
Il.,1,1,318,319,Agamemnon,Male,Mortal,Achilles,Male,Demigod,subordinate,ἐπηπείλησ᾽,319,threat,"speech mention","The narrator notes that Agamemnon threatened Achilles, but does not describe the threat",
Il.,1,1,322,325,Agamemnon,Male,Mortal,"Talthybius, Eurybates",Male,Mortal,,προσέειπε,320,"order, command","direct quotation",,
