Line #,Word
1,
1,Ἢ
1,οἵη
1,προλιποῦσα
1,δόμους
1,καὶ
1,πατρίδα
1,γαῖαν
2,ἤλυθεν
2,ἐς
2,Θήβας
2,μετ'
2,ἀρήιον
2,Ἀμφιτρύωνα
3,Ἀλκμήνη
3,θυγάτηρ
3,λαοσσόου
3,Ἠλεκτρύωνος
4,ἥ
4,ῥα
4,γυναικῶν
4,φῦλον
4,ἐκαίνυτο
4,θηλυτεράων
5,εἴδεΐ
5,τε
5,μεγέθει
5,τε
5,νόον
5,γε
5,μὲν
5,οὔ
5,τις
5,ἔριζε
6,τάων
6,ἃς
6,θνηταὶ
6,θνητοῖς
6,τέκον
6,εὐνηθεῖσαι
7,τῆς
7,καὶ
7,ἀπὸ
7,κρῆθεν
7,βλεφάρων
7,τ'
7,ἄπο
7,κυανεάων
8,τοῖον
8,ἄηθ'
8,οἷόν
8,τε
8,πολυχρύσου
8,Ἀφροδίτης
9,ἣ
9,δὲ
9,καὶ
9,ὣς
9,κατὰ
9,θυμὸν
9,ἑὸν
9,τίεσκεν
9,ἀκοίτην
10,ὡς
10,οὔ
10,πώ
10,τις
10,ἔτισε
10,γυναικῶν
10,θηλυτεράων
11,ἦ
11,μέν
11,οἱ
11,πατέρ'
11,ἐσθλὸν
11,ἀπέκτανε
11,ἶφι
11,δαμάσσας
12,χωσάμενος
12,περὶ
12,βουσί
12,λιπὼν
12,δ'
12,ὅ
12,γε
12,πατρίδα
12,γαῖαν
13,ἐς
13,Θήβας
13,ἱκέτευσε
13,φερεσσακέας
13,Καδμείους
14,ἔνθ'
14,ὅ
14,γε
14,δώματ'
14,ἔναιε
14,σὺν
14,αἰδοίῃ
14,παρακοίτι
15,νόσφιν
15,ἄτερ
15,φιλότητος
15,ἐφιμέρου
15,οὐδέ
15,οἱ
15,ἦεν
16,πρὶν
16,λεχέων
16,ἐπιβῆναι
16,ἐυσφύρου
16,Ἠλεκτρυώνης
17,πρίν
17,γε
17,φόνον
17,τείσαιτο
17,κασιγνήτων
17,μεγαθύμων
18,ἧς
18,ἀλόχου
18,μαλερῷ
18,δὲ
18,καταφλέξαι
18,πυρὶ
18,κώμας
19,ἀνδρῶν
19,ἡρώων
19,Ταφίων
19,ἰδὲ
19,Τηλεβοάων
20,τὼς
20,γάρ
20,οἱ
20,διέκειτο
20,θεοὶ
20,δ'
20,ἐπὶ
20,μάρτυροι
20,ἦσαν
21,τῶν
21,ὅ
21,γ'
21,ὀπίζετο
21,μῆνιν
21,ἐπείγετο
21,δ'
21,ὅττι
21,τάχιστα
22,ἐκτελέσαι
22,μέγα
22,ἔργον
22,ὅ
22,οἱ
22,Διόθεν
22,θέμις
22,ἦεν
23,τῷ
23,δ'
23,ἅμα
23,ἱέμενοι
23,πολέμοιό
23,τε
23,φυλόπιδός
23,τε
24,Βοιωτοὶ
24,πλήξιπποι
24,ὑπὲρ
24,σακέων
24,πνείοντες
25,Λοκροί
25,τ'
25,ἀγχέμαχοι
25,καὶ
25,Φωκῆες
25,μεγάθυμοι
26,ἕσποντ'
26,ἦρχε
26,δὲ
26,τοῖσιν
26,ἐὺς
26,πάις
26,Ἀλκαίοιο
27,κυδιόων
27,λαοῖσι
27,πατὴρ
27,δ'
27,ἀνδρῶν
27,τε
27,θεῶν
27,τε
28,ἄλλην
28,μῆτιν
28,ὕφαινε
28,μετὰ
28,φρεσίν
28,ὥς
28,ῥα
28,θεοῖσιν
29,ἀνδράσι
29,τ'
29,ἀλφηστῇσιν
29,ἀρῆς
29,ἀλκτῆρα
29,φυτεύσαι
30,ὦρτο
30,δ'
30,ἀπ'
30,Οὐλύμποιο
30,δόλον
30,φρεσὶ
30,βυσσοδομεύων
31,ἱμείρων
31,φιλότητος
31,ἐυζώνοιο
31,γυναικός
32,ἐννύχιος
32,τάχα
32,δ'
32,ἷξε
32,Τυφαόνιον
32,τόθεν
32,αὖτις
33,Φίκιον
33,ἀκρότατον
33,προσεβήσατο
33,μητίετα
33,Ζεύς
34,ἔνθα
34,καθεζόμενος
34,φρεσὶ
34,μήδετο
34,θέσκελα
34,ἔργα
35,αὐτῇ
35,μὲν
35,γὰρ
35,νυκτὶ
35,τανισφύρου
35,Ἠλεκτρυώνης
36,εὐνῇ
36,καὶ
36,φιλότητι
36,μίγη
36,τέλεσεν
36,δ'
36,ἄρ'
36,ἐέλδωρ
37,αὐτῇ
37,δ'
37,Ἀμφιτρύων
37,λαοσσόος
37,ἀγλαὸς
37,ἥρως
38,ἐκτελέσας
38,μέγα
38,ἔργον
38,ἀφίκετο
38,ὅνδε
38,δόμονδε
39,οὐδ'
39,ὅ
39,γε
39,πρὶν
39,δμῶας
39,καὶ
39,ποιμένας
39,ἀγροιώτας
40,ὦρτ'
40,ἰέναι
40,πρίν
