work,book_n,line_n,word_n,word,lemma,appositive
Argon.,1,2,2,οἳ,ὁ,no
Argon.,1,15,7,οἱ,ὁ,postpositive
Argon.,1,18,4,οἱ,ὁ,postpositive
Argon.,1,23,5,τόν,ὁ,no
Argon.,1,40,4,τοῖσι,ὁ,no
Argon.,1,43,6,οἱ,ὁ,postpositive
Argon.,1,44,8,τὸ,ὁ,prepositive
Argon.,1,47,4,τῆς,ὁ,no
Argon.,1,53,1,τοῖσι,ὁ,no
Argon.,1,54,3,τὸν,ὁ,no
Argon.,1,56,1,τὼ,ὁ,no
Argon.,1,61,3,οἱ,ὁ,no
Argon.,1,72,2,ὁ,ὁ,no
Argon.,1,72,5,ὁ,ὁ,no
Argon.,1,73,2,ὁ,ὁ,no
Argon.,1,77,6,τόν,ὁ,no
Argon.,1,86,1,τῷ,ὁ,no
Argon.,1,90,1,τοῖσι,ὁ,no
Argon.,1,95,1,τοῖς,ὁ,no
Argon.,1,111,9,οἱ,ὁ,postpositive
Argon.,1,115,5,τοῖσιν,ὁ,no
Argon.,1,120,2,τῆς,ὁ,no
Argon.,1,126,1,τὴν,ὁ,prepositive
Argon.,1,128,1,τὸν,ὁ,no
Argon.,1,131,4,οἱ,ὁ,postpositive
Argon.,1,133,1,τῷ,ὁ,no
Argon.,1,140,4,τὸν,ὁ,prepositive
Argon.,1,141,3,οἱ,ὁ,postpositive
Argon.,1,148,2,τοὺς,ὁ,no
Argon.,1,158,5,οἱ,ὁ,postpositive
Argon.,1,160,2,τὸ,ὁ,no
Argon.,1,162,1,οἳ,ὁ,no
Argon.,1,164,2,τὸν,ὁ,no
Argon.,1,165,1,τῶν,ὁ,no
Argon.,1,165,6,ὁ,ὁ,no
Argon.,1,169,7,οἱ,ὁ,postpositive
Argon.,1,171,6,τὸν,ὁ,no
Argon.,1,179,4,τοῖσι,ὁ,no
Argon.,1,180,1,τόν,ὁ,no
Argon.,1,186,2,ὁ,ὁ,no
Argon.,1,187,3,ὁ,ὁ,no
Argon.,1,190,4,τοῖσιν,ὁ,no
Argon.,1,193,7,τὸν,ὁ,no
Argon.,1,196,2,τοῦ,ὁ,no
Argon.,1,199,3,οἱ,ὁ,postpositive
Argon.,1,205,4,ὃ,ὁ,no
Argon.,1,208,5,οἱ,ὁ,postpositive
Argon.,1,219,1,τὼ,ὁ,no
Argon.,1,227,4,τὼ,ὁ,no
Argon.,1,229,1,τοὺς,ὁ,prepositive
Argon.,1,231,1,οἱ,ὁ,prepositive
Argon.,1,239,5,οἱ,ὁ,prepositive
Argon.,1,247,8,αἱ,ὁ,prepositive
Argon.,1,253,9,οἱ,ὁ,postpositive
Argon.,1,254,3,τὸ,ὁ,no
Argon.,1,260,1,αἱ,ὁ,no
Argon.,1,265,2,ὁ,ὁ,no
Argon.,1,265,3,τῶν,ὁ,no
Argon.,1,267,2,οἱ,ὁ,no
Argon.,1,268,4,τὰ,ὁ,prepositive
Argon.,1,274,1,τῇ,ὁ,prepositive
Argon.,1,282,3,τὸ,ὁ,prepositive
Argon.,1,284,4,ἡ,ὁ,no
Argon.,1,284,5,τὸ,ὁ,no
Argon.,1,290,5,τὸ,ὁ,no
Argon.,1,292,5,ταὶ,ὁ,prepositive
Argon.,1,293,5,ὁ,ὁ,no
Argon.,1,299,1,τῶν,ὁ,no
Argon.,1,306,3,ὁ,ὁ,no
Argon.,1,311,3,τῷ,ὁ,no
Argon.,1,315,2,ἡ,ὁ,no
Argon.,1,316,2,ὁ,ὁ,no
Argon.,1,318,5,τῇ,ὁ,no
Argon.,1,320,6,οἱ,ὁ,prepositive
Argon.,1,324,3,ὁ,ὁ,no
Argon.,1,325,6,ὁ,ὁ,no
Argon.,1,326,2,τήν,ὁ,no
Argon.,1,326,3,οἱ,ὁ,postpositive
Argon.,1,327,3,τὼ,ὁ,no
Argon.,1,328,2,τοὺς,ὁ,no
Argon.,1,331,1,τοῖσιν,ὁ,no
Argon.,1,334,6,τοῖο,ὁ,no
Argon.,1,338,3,τὸν,ὁ,prepositive
Argon.,1,339,5,τὰ,ὁ,prepositive
Argon.,1,343,3,ὁ,ὁ,no
Argon.,1,360,3,ὅ,ὁ,no
Argon.,1,363,8,οἱ,ὁ,no
Argon.,1,365,4,τὸν,ὁ,no
Argon.,1,376,1,τὴν,ὁ,no
Argon.,1,380,1,τῶν,ὁ,no
Argon.,1,383,6,τοὶ,ὁ,no
